date,scheme_code,nav,daily_return,is_return_outlier,log_return,rolling_30d_vol,rolling_90d_vol,rolling_252d_vol,week52_high,week52_low,year,month,quarter,month_name,scheme_name,category,sub_category,amc_name,benchmark,risk_level
2021-06-04,100033,100.3993,,False,,,,,100.3993,100.3993,2021,6,2,Jun,Axis Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Axis MF,BSE 100 TRI,Moderate
2021-06-07,100033,100.2829,-0.0011593706330621512,False,-0.0011600432230989021,,,,100.3993,100.2829,2021,6,2,Jun,Axis Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Axis MF,BSE 100 TRI,Moderate
2021-06-08,100033,100.4141,0.0013082988226309489,False,0.0013074437454426988,,,,100.4141,100.2829,2021,6,2,Jun,Axis Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Axis MF,BSE 100 TRI,Moderate
2021-06-09,100033,99.953,-0.00459198459180532,False,-0.004602560140641836,,,,100.4141,99.953,2021,6,2,Jun,Axis Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Axis MF,BSE 100 TRI,Moderate
2021-06-10,100033,99.664,-0.002891358938701183,False,-0.0028955469916817802,,,,100.4141,99.664,2021,6,2,Jun,Axis Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Axis MF,BSE 100 TRI,Moderate
2021-06-11,100033,100.4182,0.007567426553218848,False,0.007538937217928122,,,,100.4182,99.664,2021,6,2,Jun,Axis Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Axis MF,BSE 100 TRI,Moderate
2021-06-14,100033,100.6694,0.002501538565718109,False,0.002498414926305373,,,,100.6694,99.664,2021,6,2,Jun,Axis Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Axis MF,BSE 100 TRI,Moderate
2021-06-15,100033,101.1067,0.004343921787554272,False,0.004334514193368981,,,,101.1067,99.664,2021,6,2,Jun,Axis Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Axis MF,BSE 100 TRI,Moderate
2021-06-16,100033,100.8557,-0.002482525886019493,False,-0.0024856124628029144,,,,101.1067,99.664,2021,6,2,Jun,Axis Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Axis MF,BSE 100 TRI,Moderate
2021-06-17,100033,99.8745,-0.00972875107703386,False,-0.009776384570504136,,,,101.1067,99.664,2021,6,2,Jun,Axis Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Axis MF,BSE 100 TRI,Moderate
2021-06-18,100033,100.2661,0.003920920755548174,False,0.003913253979774911,,,,101.1067,99.664,2021,6,2,Jun,Axis Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Axis MF,BSE 100 TRI,Moderate
2021-06-21,100033,102.1486,0.018775039619572498,False,0.01860096403856098,,,,102.1486,99.664,2021,6,2,Jun,Axis Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Axis MF,BSE 100 TRI,Moderate
2021-06-22,100033,103.534,0.013562594103100789,False,0.013471445341357113,,,,103.534,99.664,2021,6,2,Jun,Axis Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Axis MF,BSE 100 TRI,Moderate
