scheme_code,date,nav
120503,2021-06-04,99.1612
120503,2021-06-07,99.1664
120503,2021-06-08,99.5526
120503,2021-06-09,99.3619
120503,2021-06-10,100.0114
120503,2021-06-11,100.5151
120503,2021-06-14,100.0371
120503,2021-06-15,99.8359
120503,2021-06-16,100.7739
120503,2021-06-17,100.817
120503,2021-06-18,100.5786
120503,2021-06-21,101.4211
120503,2021-06-22,102.7128
120503,2021-06-23,101.3163
120503,2021-06-24,101.4488
120503,2021-06-25,99.1198
120503,2021-06-28,100.3537
120503,2021-06-29,100.7699
120503,2021-06-30,101.4513
120503,2021-07-01,101.4974
120503,2021-07-02,101.9031
120503,2021-07-05,102.7696
120503,2021-07-06,101.5575
120503,2021-07-07,101.0984
120503,2021-07-08,101.5586
120503,2021-07-09,100.8433
120503,2021-07-12,100.8655
120503,2021-07-13,101.1383
120503,2021-07-14,100.8619
120503,2021-07-15,102.017
120503,2021-07-16,103.5678
120503,2021-07-19,103.2728
120503,2021-07-20,103.8056
120503,2021-07-21,102.1863
120503,2021-07-22,101.4727
120503,2021-07-23,101.6292
120503,2021-07-26,102.2864
120503,2021-07-27,100.1578
120503,2021-07-28,100.2532
120503,2021-07-29,101.6787
120503,2021-07-30,101.7541
120503,2021-08-02,100.7184
120503,2021-08-03,99.2617
120503,2021-08-04,99.5249
120503,2021-08-05,99.1033
120503,2021-08-06,99.5806
120503,2021-08-09,101.3084
120503,2021-08-10,101.0115
120503,2021-08-11,101.2538
120503,2021-08-12,102.3016
120503,2021-08-13,103.2057
120503,2021-08-16,105.8738
120503,2021-08-17,106.6692
120503,2021-08-18,106.615
120503,2021-08-19,106.7965
120503,2021-08-20,108.5575
120503,2021-08-23,108.7821
120503,2021-08-24,108.0036
120503,2021-08-25,107.9152
120503,2021-08-26,106.0863
120503,2021-08-27,105.7031
120503,2021-08-30,105.5255
120503,2021-08-31,105.9257
120503,2021-09-01,105.0082
120503,2021-09-02,105.5836
120503,2021-09-03,106.9995
120503,2021-09-06,106.1604
120503,2021-09-07,104.8844
120503,2021-09-08,103.9363
120503,2021-09-09,103.1089
120503,2021-09-10,102.6654
120503,2021-09-13,102.6983
120503,2021-09-14,102.6131
120503,2021-09-15,102.6758
120503,2021-09-16,103.21
120503,2021-09-17,103.3718
120503,2021-09-20,103.5885
120503,2021-09-21,104.6697
120503,2021-09-22,106.6451
120503,2021-09-23,107.2793
120503,2021-09-24,106.9229
120503,2021-09-27,104.644
120503,2021-09-28,102.0192
120503,2021-09-29,103.637
120503,2021-09-30,103.8188
120503,2021-10-01,105.067
120503,2021-10-04,106.3506
120503,2021-10-05,107.9446
120503,2021-10-06,109.2068
120503,2021-10-07,111.8476
120503,2021-10-08,111.8412
120503,2021-10-11,114.6449
120503,2021-10-12,114.7728
120503,2021-10-13,115.97
120503,2021-10-14,116.1641
120503,2021-10-15,115.2153
120503,2021-10-18,114.6544
120503,2021-10-19,113.7636
120503,2021-10-20,112.9087
120503,2021-10-21,111.1654
120503,2021-10-22,110.9119
120503,2021-10-25,109.1884
120503,2021-10-26,109.5175
120503,2021-10-27,110.2684
120503,2021-10-28,110.9407
120503,2021-10-29,112.5892
120503,2021-11-01,112.2647
120503,2021-11-02,112.4015
120503,2021-11-03,114.4378
120503,2021-11-04,114.7827
120503,2021-11-05,115.4599
120503,2021-11-08,116.5801
120503,2021-11-09,116.2657
120503,2021-11-10,115.0426
120503,2021-11-11,114.3694
120503,2021-11-12,115.3415
120503,2021-11-15,114.4039
120503,2021-11-16,115.6479
120503,2021-11-17,114.3235
120503,2021-11-18,114.8395
120503,2021-11-19,116.129
120503,2021-11-22,116.8541
120503,2021-11-23,116.422
120503,2021-11-24,116.3218
120503,2021-11-25,114.1626
