scheme_code,date,nav
120828,2021-06-04,28.957
120828,2021-06-07,28.7948
120828,2021-06-08,28.3399
120828,2021-06-09,27.4675
120828,2021-06-10,26.6491
120828,2021-06-11,26.7497
120828,2021-06-14,27.4247
120828,2021-06-15,27.8184
120828,2021-06-16,27.5218
120828,2021-06-17,27.5266
120828,2021-06-18,27.5676
120828,2021-06-21,27.4555
120828,2021-06-22,27.4812
120828,2021-06-23,27.9109
120828,2021-06-24,27.3959
120828,2021-06-25,27.2232
120828,2021-06-28,26.8724
120828,2021-06-29,26.3889
120828,2021-06-30,27.4066
120828,2021-07-01,27.4843
120828,2021-07-02,27.5795
120828,2021-07-05,27.7063
120828,2021-07-06,27.299
120828,2021-07-07,27.869
120828,2021-07-08,27.8698
120828,2021-07-09,29.0472
120828,2021-07-12,29.8459
120828,2021-07-13,30.065
120828,2021-07-14,29.8446
120828,2021-07-15,29.8074
120828,2021-07-16,29.3237
120828,2021-07-19,28.5584
120828,2021-07-20,29.4702
120828,2021-07-21,28.8957
120828,2021-07-22,29.3141
120828,2021-07-23,29.7298
120828,2021-07-26,29.8913
120828,2021-07-27,30.3451
120828,2021-07-28,30.5177
120828,2021-07-29,31.0557
120828,2021-07-30,31.9278
120828,2021-08-02,32.0067
120828,2021-08-03,31.9876
120828,2021-08-04,32.0762
120828,2021-08-05,31.9102
120828,2021-08-06,32.557
120828,2021-08-09,32.2718
120828,2021-08-10,32.1899
120828,2021-08-11,32.6064
120828,2021-08-12,32.4334
120828,2021-08-13,32.085
120828,2021-08-16,32.3721
120828,2021-08-17,32.4916
120828,2021-08-18,32.8661
120828,2021-08-19,33.5634
120828,2021-08-20,33.3895
120828,2021-08-23,33.0907
120828,2021-08-24,32.266
120828,2021-08-25,33.0159
120828,2021-08-26,33.9024
120828,2021-08-27,34.3247
120828,2021-08-30,34.347
120828,2021-08-31,35.2575
120828,2021-09-01,35.0657
120828,2021-09-02,35.2752
120828,2021-09-03,33.7244
120828,2021-09-06,34.8795
120828,2021-09-07,35.2061
120828,2021-09-08,36.0862
120828,2021-09-09,36.5445
120828,2021-09-10,35.7719
120828,2021-09-13,35.9964
120828,2021-09-14,35.4856
120828,2021-09-15,35.6483
120828,2021-09-16,35.7584
120828,2021-09-17,35.1427
120828,2021-09-20,35.3385
120828,2021-09-21,34.935
120828,2021-09-22,35.1072
120828,2021-09-23,35.0299
