scheme_code,date,nav
120586,2021-06-04,78.4714
120586,2021-06-07,77.0001
120586,2021-06-08,76.3443
120586,2021-06-09,75.5413
120586,2021-06-10,75.0042
120586,2021-06-11,74.7619
120586,2021-06-14,75.1638
120586,2021-06-15,74.8142
120586,2021-06-16,73.626
120586,2021-06-17,74.3191
120586,2021-06-18,75.3775
120586,2021-06-21,75.1164
120586,2021-06-22,76.3458
120586,2021-06-23,77.3959
120586,2021-06-24,77.669
120586,2021-06-25,78.3897
120586,2021-06-28,78.1592
120586,2021-06-29,77.5367
120586,2021-06-30,78.5352
120586,2021-07-01,78.4271
120586,2021-07-02,77.4469
120586,2021-07-05,76.8802
120586,2021-07-06,76.608
120586,2021-07-07,76.3293
120586,2021-07-08,76.0366
120586,2021-07-09,75.5109
120586,2021-07-12,75.3647
120586,2021-07-13,74.861
120586,2021-07-14,74.9404
120586,2021-07-15,76.1131
120586,2021-07-16,75.2219
120586,2021-07-19,74.4704
120586,2021-07-20,76.0216
120586,2021-07-21,74.8255
120586,2021-07-22,73.7049
120586,2021-07-23,73.3526
120586,2021-07-26,73.375
120586,2021-07-27,72.4392
120586,2021-07-28,72.9625
120586,2021-07-29,71.5354
120586,2021-07-30,70.8881
120586,2021-08-02,71.1518
120586,2021-08-03,71.2215
120586,2021-08-04,71.0489
120586,2021-08-05,70.1572
120586,2021-08-06,68.987
120586,2021-08-09,69.1244
120586,2021-08-10,70.0355
120586,2021-08-11,69.4132
120586,2021-08-12,69.4976
120586,2021-08-13,69.0415
120586,2021-08-16,69.1477
120586,2021-08-17,69.6896
120586,2021-08-18,68.5252
120586,2021-08-19,69.3323
120586,2021-08-20,69.1949
120586,2021-08-23,69.5428
120586,2021-08-24,70.1888
120586,2021-08-25,70.621
120586,2021-08-26,71.0521
120586,2021-08-27,72.3434
120586,2021-08-30,72.4384
120586,2021-08-31,71.8499
120586,2021-09-01,72.2903
120586,2021-09-02,72.1972
120586,2021-09-03,71.0783
120586,2021-09-06,71.8858
120586,2021-09-07,70.6568
120586,2021-09-08,70.1129
120586,2021-09-09,68.7462
120586,2021-09-10,68.8846
120586,2021-09-13,69.1109
120586,2021-09-14,69.6388
120586,2021-09-15,69.7686
120586,2021-09-16,69.1025
120586,2021-09-17,70.5698
120586,2021-09-20,69.8437
120586,2021-09-21,69.3334
120586,2021-09-22,69.572
120586,2021-09-23,69.4523
120586,2021-09-24,68.8442
120586,2021-09-27,68.91
120586,2021-09-28,69.2797
120586,2021-09-29,69.4857
120586,2021-09-30,69.0935
120586,2021-10-01,68.4546
120586,2021-10-04,69.0126
120586,2021-10-05,68.2247
120586,2021-10-06,67.3934
120586,2021-10-07,67.4273
120586,2021-10-08,66.8881
120586,2021-10-11,67.0261
120586,2021-10-12,66.9383
120586,2021-10-13,66.7836
120586,2021-10-14,66.3741
120586,2021-10-15,65.6055
120586,2021-10-18,65.4492
120586,2021-10-19,65.4233
120586,2021-10-20,65.8472
120586,2021-10-21,65.4916
120586,2021-10-22,65.7271
120586,2021-10-25,65.5734
120586,2021-10-26,66.3187
120586,2021-10-27,67.3269
120586,2021-10-28,66.0648
120586,2021-10-29,66.6974
120586,2021-11-01,67.1215
120586,2021-11-02,67.5596
120586,2021-11-03,67.1577
120586,2021-11-04,67.384
120586,2021-11-05,68.6256
120586,2021-11-08,68.4934
120586,2021-11-09,70.1148
120586,2021-11-10,69.3951
120586,2021-11-11,69.5469
120586,2021-11-12,70.664
120586,2021-11-15,70.7036
120586,2021-11-16,71.3561
120586,2021-11-17,70.0773
120586,2021-11-18,68.2989
120586,2021-11-19,67.9023
120586,2021-11-22,66.9548
120586,2021-11-23,67.4985
120586,2021-11-24,65.4611
120586,2021-11-25,66.2343
120586,2021-11-26,65.8756
120586,2021-11-29,65.6865
120586,2021-11-30,65.8878
120586,2021-12-01,65.2094
120586,2021-12-02,65.9634
120586,2021-12-03,66.8057
120586,2021-12-06,66.2544
120586,2021-12-07,65.0983
120586,2021-12-08,65.6419
120586,2021-12-09,66.6413
120586,2021-12-10,66.6213
120586,2021-12-13,66.4593
