scheme_code,date,nav
120716,2021-06-04,140.4804
120716,2021-06-07,140.3275
120716,2021-06-08,138.6922
120716,2021-06-09,138.2842
120716,2021-06-10,138.9494
120716,2021-06-11,139.1643
120716,2021-06-14,138.8476
120716,2021-06-15,137.9699
120716,2021-06-16,139.347
120716,2021-06-17,137.744
120716,2021-06-18,137.5132
120716,2021-06-21,136.8931
120716,2021-06-22,137.405
120716,2021-06-23,135.7093
120716,2021-06-24,135.2664
120716,2021-06-25,135.0348
120716,2021-06-28,134.5407
120716,2021-06-29,136.5737
120716,2021-06-30,138.5018
120716,2021-07-01,138.7908
120716,2021-07-02,138.2669
120716,2021-07-05,138.8678
120716,2021-07-06,139.0543
120716,2021-07-07,139.7679
120716,2021-07-08,140.1698
120716,2021-07-09,139.3519
120716,2021-07-12,137.2475
120716,2021-07-13,137.8155
120716,2021-07-14,137.2619
120716,2021-07-15,136.7059
120716,2021-07-16,135.2163
120716,2021-07-19,137.7233
120716,2021-07-20,138.711
120716,2021-07-21,138.6834
120716,2021-07-22,139.9488
120716,2021-07-23,140.0309
120716,2021-07-26,140.4031
120716,2021-07-27,139.2863
120716,2021-07-28,141.9216
120716,2021-07-29,141.1047
120716,2021-07-30,141.2759
120716,2021-08-02,139.8555
120716,2021-08-03,140.7901
120716,2021-08-04,140.0889
120716,2021-08-05,141.9764
120716,2021-08-06,141.6046
120716,2021-08-09,141.623
120716,2021-08-10,142.0905
120716,2021-08-11,142.0907
120716,2021-08-12,142.0069
120716,2021-08-13,143.6208
120716,2021-08-16,141.647
120716,2021-08-17,142.7428
120716,2021-08-18,142.4159
120716,2021-08-19,141.7834
120716,2021-08-20,139.9244
120716,2021-08-23,138.2283
120716,2021-08-24,138.2483
120716,2021-08-25,137.8366
120716,2021-08-26,138.1152
120716,2021-08-27,138.3371
120716,2021-08-30,137.5616
120716,2021-08-31,137.8426
120716,2021-09-01,136.5726
120716,2021-09-02,138.8888
120716,2021-09-03,136.9008
120716,2021-09-06,137.7563
120716,2021-09-07,137.8964
120716,2021-09-08,138.0106
120716,2021-09-09,138.6751
120716,2021-09-10,139.0269
120716,2021-09-13,139.8325
120716,2021-09-14,140.6242
120716,2021-09-15,141.5599
120716,2021-09-16,140.5408
120716,2021-09-17,141.1883
120716,2021-09-20,138.7234
120716,2021-09-21,140.2313
120716,2021-09-22,140.6312
120716,2021-09-23,139.5702
120716,2021-09-24,139.6299
120716,2021-09-27,141.5549
120716,2021-09-28,140.1193
120716,2021-09-29,139.8553
120716,2021-09-30,138.8185
120716,2021-10-01,138.402
120716,2021-10-04,138.1958
120716,2021-10-05,138.0835
120716,2021-10-06,138.7955
120716,2021-10-07,138.2732
120716,2021-10-08,135.122
120716,2021-10-11,135.5095
120716,2021-10-12,137.7175
120716,2021-10-13,139.0633
120716,2021-10-14,140.6035
120716,2021-10-15,140.9851
120716,2021-10-18,141.379
120716,2021-10-19,141.1572
120716,2021-10-20,142.2264
120716,2021-10-21,141.405
120716,2021-10-22,139.0509
120716,2021-10-25,137.7102
120716,2021-10-26,137.0123
120716,2021-10-27,135.2501
120716,2021-10-28,134.7693
120716,2021-10-29,135.1539
120716,2021-11-01,135.5002
120716,2021-11-02,135.9269
120716,2021-11-03,137.0548
120716,2021-11-04,135.8344
120716,2021-11-05,135.9771
120716,2021-11-08,136.221
120716,2021-11-09,136.7329
120716,2021-11-10,137.0445
120716,2021-11-11,137.4651
120716,2021-11-12,135.8233
120716,2021-11-15,136.8145
120716,2021-11-16,139.4728
120716,2021-11-17,142.6927
120716,2021-11-18,142.0753
120716,2021-11-19,140.1766
120716,2021-11-22,139.3669
120716,2021-11-23,138.3513
120716,2021-11-24,139.0016
120716,2021-11-25,138.9902
120716,2021-11-26,140.1764
120716,2021-11-29,140.2131
120716,2021-11-30,139.6652
120716,2021-12-01,138.3353
120716,2021-12-02,137.7137
120716,2021-12-03,135.5505
120716,2021-12-06,135.4838
120716,2021-12-07,135.7877
120716,2021-12-08,135.4638
120716,2021-12-09,134.4521
