date,scheme_code,nav,daily_return,log_return
2022-01-03,100016,520.4608,,
2022-01-04,100016,515.0971,-0.010305675278522441,-0.010359146438180616
2022-01-05,100016,521.7239,0.012865147173222402,0.012783094167307132
2022-01-06,100016,515.788,-0.011377473794089044,-0.011442692402951836
2022-01-07,100016,515.1639,-0.001209993253041941,-0.0012107258859250043
2022-01-10,100016,510.7136,-0.008638609964712218,-0.008676139044808349
2022-01-11,100016,513.5542,0.005562021453902943,0.005546610530093981
2022-01-12,100016,512.3195,-0.00240422529890727,-0.0024071200893008805
2022-01-13,100016,510.2445,-0.00405020695093572,-0.004058431253371078
2022-01-14,100016,514.3636,0.00807279647306336,0.008040385764807567
2022-01-17,100016,514.7627,0.0007759102704778531,0.0007756094077222127
2022-01-18,100016,517.3803,0.005085061524465528,0.0050721762622189985
2022-01-19,100016,513.1866,-0.008105642986406814,-0.008138672314228254
2022-01-20,100016,507.1294,-0.011803114110929713,-0.011873323871677928
2022-01-21,100016,507.871,0.0014623486628857485,0.0014612804723310403
2022-01-24,100016,506.7062,-0.0022934957892849495,-0.002296129879039224
2022-01-25,100016,509.7762,0.006058737785328061,0.006040457433630708
2022-01-26,100016,509.68,-0.00018871026148337133,-0.00018872806950517208
2022-01-27,100016,510.8661,0.002327146444828232,0.002324442833194774
2022-01-28,100016,503.8641,-0.013706135521617147,-0.013800931787373221
2022-01-31,100016,512.5903,0.01731855871454213,0.01717030175992266
2022-02-01,100016,512.1124,-0.0009323235340191749,-0.0009327584179278975
2022-02-02,100016,515.5386,0.006690328138900803,0.006668047216178232
2022-02-03,100016,512.0153,-0.0068342118320527945,-0.006857672006701653
2022-02-04,100016,513.6729,0.0032374032572854983,0.003232174150139878
2022-02-07,100016,508.0666,-0.010914144000978121,-0.010974140208142384
2022-02-08,100016,510.3595,0.004512991013382983,0.004502838004936191
2022-02-09,100016,509.0223,-0.0026201138609157626,-0.002623552366735593
2022-02-10,100016,509.4161,0.0007736399760875923,0.0007733408709378177
2022-02-11,100016,512.826,0.006693742109839196,0.0066714384925758595
2022-02-14,100016,507.5435,-0.010300764781816851,-0.010354184820839848
2022-02-15,100016,504.7492,-0.005505537948964023,-0.0055207492797474935
2022-02-16,100016,507.0506,0.004559492120046915,0.004549129123910366
2022-02-17,100016,516.7872,0.019202422795673746,0.019020382987247397
2022-02-18,100016,516.4246,-0.0007016427651457269,-0.0007018890316314708
2022-02-21,100016,519.3918,0.005745659676165582,0.0057292163287947975
2022-02-22,100016,519.1698,-0.0004274229974365884,-0.0004275143686829995
2022-02-23,100016,528.4118,0.017801497698826108,0.01764490667753155
2022-02-24,100016,520.6004,-0.014782788726519613,-0.014893143061431068
2022-02-25,100016,521.3038,0.001351132269587163,0.0013502203117402294
2022-02-28,100016,514.1489,-0.013725010253138326,-0.013820068996684141
2022-03-01,100016,503.1674,-0.021358598647201354,-0.021589994305485315
2022-03-02,100016,504.7495,0.003144281604889443,0.0031393486890967386
2022-03-03,100016,505.6316,0.001747599551856771,0.0017460742765483535
2022-03-04,100016,504.6233,-0.0019941396067809647,-0.0019961305504199857
2022-03-07,100016,504.411,-0.0004207098641698659,-0.0004207983873940372
2022-03-08,100016,518.6513,0.028231541342278454,0.027840376440184327
2022-03-09,100016,517.7387,-0.0017595636991558639,-0.0017611135496688555
2022-03-10,100016,520.3416,0.005027439517270027,0.005014844140577625
2022-03-11,100016,517.6372,-0.0051973549683514975,-0.0052109081987136196
2022-03-14,100016,519.2545,0.003124389050864096,0.003119518290190597
2022-03-15,100016,518.432,-0.0015840016793305933,-0.0015852575363522802
2022-03-16,100016,516.825,-0.0030997314980556467,-0.003104545616626328
2022-03-17,100016,525.4534,0.016695012818652266,0.0165571830234993
2022-03-18,100016,531.2109,0.010957203816742034,0.01089760859513312
2022-03-21,100016,532.1264,0.0017234209614296336,0.0017219375756120786
2022-03-22,100016,521.6911,-0.019610566211336278,-0.019805404835600074
2022-03-23,100016,520.3011,-0.002664411947989831,-0.0026679678110979673
2022-03-24,100016,533.1283,0.024653417031022862,0.024354425685794816
2022-03-25,100016,532.3194,-0.0015172707957915588,-0.0015184230167604067
2022-03-28,100016,537.8012,0.010297952695317969,0.010245290017068283
2022-03-29,100016,544.965,0.013320535543617229,0.013232597272522968
2022-03-30,100016,546.3002,0.002450065600543061,0.002447069083264178
2022-03-31,100016,542.5392,-0.006884493177926609,-0.006908300632175173
2022-04-01,100016,531.285,-0.020743570234187825,-0.020961740447221832
2022-04-04,100016,534.7762,0.006571237659636742,0.006549741198295526
2022-04-05,100016,531.2213,-0.006647453645094892,-0.006669646369824784
2022-04-06,100016,532.3217,0.002071453083676955,0.0020693105829543285
2022-04-07,100016,526.7582,-0.010451386821164643,-0.010506386112618992
2022-04-08,100016,525.7986,-0.0018217087080941718,-0.0018233700373479845
2022-04-11,100016,526.2264,0.0008136195113490619,0.0008132887024173448
2022-04-12,100016,527.7466,0.0028888706457903535,0.0028847058780418332
2022-04-13,100016,522.8529,-0.009272821463937375,-0.009316081710262656
2022-04-14,100016,528.6739,0.011133150452067975,0.011071633099427441
2022-04-15,100016,526.1696,-0.004736946537364672,-0.0047482014252140945
2022-04-18,100016,518.7241,-0.014150380409662433,-0.014251451639653674
2022-04-19,100016,518.493,-0.0004455162195085016,-0.0004456154913453281
2022-04-20,100016,518.9178,0.000819297463996671,0.0008189620230341983
2022-04-21,100016,519.9214,0.0019340250035746465,0.0019321571851014351
2022-04-22,100016,526.4763,0.012607482592561281,0.012528670011419291
2022-04-25,100016,525.6507,-0.001568161757708797,-0.001569392610310251
2022-04-26,100016,525.3674,-0.0005389510562814337,-0.0005390963426057909
2022-04-27,100016,520.5493,-0.009170915439366767,-0.009213227174604715
2022-04-28,100016,524.6005,0.007782548165947034,0.007752420351124556
2022-04-29,100016,525.7251,0.002143726511888655,0.0021414320088160082
2022-05-02,100016,524.0515,-0.0031834127759925446,-0.0031884906138767706
2022-05-03,100016,515.5881,-0.016149939462056673,-0.016281771042604795
2022-05-04,100016,522.4674,0.013342627574220556,0.013254398656202548
2022-05-05,100016,517.1078,-0.01025824769162631,-0.010311226136579999
2022-05-06,100016,514.6837,-0.004687803974335658,-0.004698826187526766
2022-05-09,100016,516.5793,0.0036830387284461086,0.0036762729486391724
2022-05-10,100016,511.4204,-0.009986656453326748,-0.010036857614360331
2022-05-11,100016,504.9889,-0.012575759590348734,-0.012655503722385372
2022-05-12,100016,495.8735,-0.018050693787526884,-0.01821559496173904
2022-05-13,100016,499.2941,0.006898130269111125,0.006874447019554467
2022-05-16,100016,497.1556,-0.004283046805479973,-0.004292245324971325
2022-05-17,100016,510.4206,0.02668178735188742,0.026332036149068448
2022-05-18,100016,506.2251,-0.008219691760089631,-0.00825365969175158
2022-05-19,100016,502.3871,-0.007581607470668716,-0.007610493953189727
2022-05-20,100016,500.1462,-0.004460504658658548,-0.004470482391099953
2022-05-23,100016,501.4785,0.0026638210987106614,0.002660279415500448
2022-05-24,100016,499.6609,-0.0036244824055268188,-0.003631066756605306
2022-05-25,100016,502.6257,0.005933624183921404,0.00591608956431587
2022-05-26,100016,498.5637,-0.008081560493225948,-0.008114393316508015
2022-05-27,100016,492.78,-0.011600724240453109,-0.01166853760819039
2022-05-30,100016,485.277,-0.01522586143918181,-0.015342965057015366
2022-05-31,100016,476.0989,-0.018913115602016917,-0.019094256164319905
2022-06-01,100016,474.1732,-0.004044747845458163,-0.004052949962492564
2022-06-02,100016,473.1602,-0.002136350177530111,-0.0021386354288821467
2022-06-03,100016,470.7754,-0.005040153419497262,-0.005052897833311726
2022-06-06,100016,476.2119,0.011547969583797224,0.01148180070660575
2022-06-07,100016,481.6458,0.011410676633658134,0.011346065899958476
2022-06-08,100016,480.4735,-0.002433946273381782,-0.0024369131357126913
2022-06-09,100016,473.1759,-0.015188350658256855,-0.015304875037113835
2022-06-10,100016,471.0598,-0.004472121255541528,-0.0044821511041071615
2022-06-13,100016,468.8163,-0.004762664952517648,-0.0047740425808379386
2022-06-14,100016,466.3477,-0.005265601899933969,-0.005279514040303595
2022-06-15,100016,463.7261,-0.005621556619663792,-0.0056374170371638
2022-06-16,100016,461.2993,-0.0052332616171484325,-0.0052470030935186564
2022-06-17,100016,459.9666,-0.0028890137054186082,-0.002893194960591117
